1,港版iphone6和行货的区别,你想买一部iPhone6，但是不太清楚港版跟行货的区别，请查清楚它们的区别，主要是价格、国内保修和对国内运营商（比如电信、联通和移动）的支持方面,请说说港版iPhone6和国行在价格、国内保修和对国内网络运营商的支持这3个方面是否有区别，如果有，区别是怎样的？,1.mp3
2,衍生金融工具,你上课听老师提到一个名词叫“衍生金融工具”，想进一步了解，请查找什么是衍生金融工具，有什么特征？,请你说说什么是衍生金融工具，它们有什么特征。,2.mp3
3,中国国家博物馆的开放时间,你想去中国国家博物馆参观，请查找一下博物馆的开放时间,请你说说博物馆一周的哪几天开放，开放日的时间是几点到几点,3.mp3
4,夏天吃什么水果好,夏天到了，你想买水果吃，许鲜网上种类很多，到底买什么好呢？请查找一下夏天吃什么水果好,请你推荐5种适合夏天吃的水果,4.mp3
5,高铁改签规定,你买了一张暑假回家的高铁票，因为一些原因想改签，请查找一下有关高铁改签的规定,请你说说哪几点规定需要注意,5.mp3
6,五味子的食用方法与功效,有人给你的爷爷送了一些五味子，但你们不知道五味子是什么，请查找一下五味子的食用方法以及五味子的功效,请你说说五味子一般有哪些食用方法，有什么功效,6.mp3
7,网购火车票抢票攻略,你要买火车票，但票源比较紧张，请查找一些网上购买火车票的抢票攻略以及注意事项,请你说说抢票前需要做哪些准备工作，抢票时有哪些小技巧可以提高抢到票的可能性,7.mp3
8,喝咖啡的利弊,你喜欢喝咖啡，但有人说好也有人说不好，请你查找一下怎么喝咖啡比较健康，有什么好处，又有什么副作用？,请你说说怎么喝咖啡比较健康，需要注意什么，喝咖啡有什么好处，有什么副作用,8.mp3
9,拔智齿的危害,你的朋友长了智齿，不知道该不该拔，拔智齿后有没有什么危害，请查找一下拔智齿是否有危害,请你告诉你的朋友拔智齿是否有危害，如果有，可能有哪些危害,9.mp3
10,台湾旅游攻略,你想去台湾旅游，想知道需要做哪些准备工作，有什么好的景点，以及有没有什么注意事项，请查找这些内容,请你说说去台湾前需要准备的东西，到台湾后值得去的景点，以及旅行中需要注意的事项等,10.mp3
11,iPhone进水,此刻你正在和朋友一起吃饭，突然他不小心碰倒了饮料，放在桌上的iPhone进水了。为了避免不必要的损失，请尽快查询iPhone进水后需要进行怎样的紧急处理。,请你说说iPhone进水后应采取的紧急措施有哪些。,11.mp3
12,幼儿流鼻血,此时你在亲戚家做客，不满一岁的侄子突然开始流鼻血。大家都很担心，所以请尽快查询幼儿流鼻血需要采取什么样的措施快速止血。,请你给出帮幼儿止住鼻血的正确处理方法。,12.mp3
13,高速公路车祸处理,你的朋友刚刚打电话来，他在高速路上不幸与旁边的车发生了冲撞，有人受伤。他没有经历过类似事件，此刻非常着急，请尽快帮助他查询这种情况应该怎样处理。,请简述高速路上发生车祸后应当怎样处理。,13.mp3
14,坐火车忘带身份证,自铁道部实施火车票实名制以来，乘车必须凭借本人身份证。你到达车站后才发现自己忘记带身份证了，火车还有一会儿就开了，请尽快查询此时有什么解决办法。,请总结乘火车时忘记携带身份证该怎样应急处理。,14.mp3
15,飞机行李托运规定,你准备乘坐飞机去进行暑期实践，由于行李很多，需要进行行李托运。所以你需要了解一下目前对于托运的行李有怎样的规定，包括行李的体积重量限制、禁运物品及其他具体要求。,请重点描述几项对于飞机行李托运的规定。,15.mp3
16,达阵,你听到美式橄榄球中有一个名词叫做达阵，请通过查询了解一下这个概念的含义,请简单说说在橄榄球中达阵是什么意思？,16.mp3
17,汽车拖车杆的使用方法,你的车在路上坏了，只能靠朋友的车拖着，但你不知道拖车杆怎么用，你需要查找汽车拖车杆的使用方法,请简单说说汽车拖车杆的使用方法,17.mp3
18,防晒霜,你即将去海南旅游，需要购买一款防晒霜以避免旅游过程中晒黑晒伤。由于对防晒霜不太了解，你需要研究防晒霜的作用以及评价参数等，以便选购防晒霜时有所参考。,请描述防晒霜的作用，以及选购防晒霜时需要注意的评价参数,18.mp3
19,台球中8球与9球区别,你喜欢上了打台球，听朋友说台球玩法有8球也有9球，请查询一下这两种玩法的基本规则有什么区别,请简要说说台球8球与9球的区别,19.mp3
20,米兰达警告,美国的法律中有一个概念叫做“米兰达警告”，请你查询出这个名词的具体含义及类型。,请简述米兰达警告的含义是什么。,20.mp3
